game,difficulty,model,model_short,provider,timestamp,run_id,repeat,total_score,Executability,Executability Contribution,Functionality,Functionality Contribution,Code Quality,Code Quality Contribution,UX,UX Contribution
space_invaders,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.7295,1.0,0.2,0.6,0.3,0.67,0.1005,0.86,0.129
space_invaders,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.7265,1.0,0.2,0.6,0.3,0.65,0.0975,0.86,0.129
pacman,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.707,1.0,0.2,0.6,0.3,0.52,0.078,0.86,0.129
pacman,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.722,1.0,0.2,0.6,0.3,0.62,0.093,0.86,0.129
pacman,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.489,0.0,0.0,0.6,0.3,0.6,0.09,0.66,0.099
super_mario_bros,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.471,0.0,0.0,0.6,0.3,0.54,0.081,0.6,0.09
super_mario_bros,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.7295,1.0,0.2,0.6,0.3,0.67,0.1005,0.86,0.129
super_mario_bros,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.498,0.0,0.0,0.6,0.3,0.66,0.099,0.66,0.099
roguelike_dungeon,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.6705,1.0,0.2,0.5,0.25,0.67,0.1005,0.8,0.12
roguelike_dungeon,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.702,1.0,0.2,0.5,0.25,0.82,0.12299999999999998,0.86,0.129
roguelike_dungeon,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
tower_defense,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_113515,20260430_113515,3,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
tower_defense,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_113515,20260430_113515,3,0.719,1.0,0.2,0.6,0.3,0.6,0.09,0.86,0.129
tower_defense,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_113515,20260430_113515,3,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.8435,1.0,0.2,0.9,0.45,0.59,0.0885,0.7,0.105
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.8175000000000001,1.0,0.2,0.8,0.4,0.69,0.1035,0.76,0.11399999999999999
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.8205,1.0,0.2,0.8,0.4,0.77,0.11549999999999999,0.7,0.105
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.7295,1.0,0.2,0.6,0.3,0.67,0.1005,0.86,0.129
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.755,1.0,0.2,0.6,0.3,0.84,0.126,0.86,0.129
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.7325,1.0,0.2,0.6,0.3,0.69,0.1035,0.86,0.129
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.7525000000000001,1.0,0.2,0.7,0.35,0.62,0.093,0.73,0.1095
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.805,1.0,0.2,0.7,0.35,0.84,0.126,0.86,0.129
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.7975000000000001,1.0,0.2,0.7,0.35,0.79,0.1185,0.86,0.129
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.6950000000000001,1.0,0.2,0.6,0.3,0.41,0.06149999999999999,0.89,0.1335
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.716,1.0,0.2,0.6,0.3,0.5,0.075,0.94,0.141
pong,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.4675,0.0,0.0,0.5,0.25,0.79,0.1185,0.66,0.099
tetris,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.6995,1.0,0.2,0.6,0.3,0.59,0.0885,0.74,0.111
tetris,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.7235,1.0,0.2,0.6,0.3,0.55,0.0825,0.94,0.141
tetris,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.722,1.0,0.2,0.6,0.3,0.62,0.093,0.86,0.129
space_invaders,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.6875,1.0,0.2,0.6,0.3,0.52,0.078,0.73,0.1095
space_invaders,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.7025,1.0,0.2,0.6,0.3,0.59,0.0885,0.76,0.11399999999999999
space_invaders,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.74,1.0,0.2,0.6,0.3,0.74,0.111,0.86,0.129
pacman,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.471,0.0,0.0,0.6,0.3,0.54,0.081,0.6,0.09
pacman,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.71,1.0,0.2,0.6,0.3,0.54,0.081,0.86,0.129
pacman,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
super_mario_bros,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.719,1.0,0.2,0.6,0.3,0.6,0.09,0.86,0.129
super_mario_bros,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.7444999999999999,1.0,0.2,0.6,0.3,0.77,0.11549999999999999,0.86,0.129
super_mario_bros,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.474,0.0,0.0,0.6,0.3,0.5,0.075,0.66,0.099
roguelike_dungeon,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.45999999999999996,0.0,0.0,0.5,0.25,0.74,0.111,0.66,0.099
roguelike_dungeon,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.684,1.0,0.2,0.5,0.25,0.7,0.105,0.86,0.129
roguelike_dungeon,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.678,1.0,0.2,0.5,0.25,0.66,0.099,0.86,0.129
tower_defense,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_115101,20260430_115101,4,0.734,1.0,0.2,0.6,0.3,0.62,0.093,0.94,0.141
tower_defense,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_115101,20260430_115101,4,0.707,1.0,0.2,0.6,0.3,0.52,0.078,0.86,0.129
tower_defense,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_115101,20260430_115101,4,0.7265,1.0,0.2,0.6,0.3,0.57,0.08549999999999999,0.94,0.141
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.7695000000000001,1.0,0.2,0.8,0.4,0.49,0.0735,0.64,0.096
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.8130000000000001,1.0,0.2,0.8,0.4,0.72,0.108,0.7,0.105
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.8235000000000001,1.0,0.2,0.8,0.4,0.69,0.1035,0.8,0.12
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.707,1.0,0.2,0.6,0.3,0.52,0.078,0.86,0.129
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.49649999999999994,0.0,0.0,0.6,0.3,0.65,0.0975,0.66,0.099
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.7085,1.0,0.2,0.6,0.3,0.53,0.0795,0.86,0.129
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.53,0.0,0.0,0.7,0.35,0.59,0.0885,0.61,0.0915
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.805,1.0,0.2,0.7,0.35,0.84,0.126,0.86,0.129
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.766,1.0,0.2,0.7,0.35,0.58,0.087,0.86,0.129
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.7084999999999999,1.0,0.2,0.6,0.3,0.64,0.096,0.75,0.11249999999999999
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.7265,1.0,0.2,0.6,0.3,0.65,0.0975,0.86,0.129
pong,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.6735,1.0,0.2,0.5,0.25,0.55,0.0825,0.94,0.141
tetris,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.45,0.0,0.0,0.6,0.3,0.46,0.069,0.54,0.081
tetris,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.7205,1.0,0.2,0.6,0.3,0.67,0.1005,0.8,0.12
tetris,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.7145,1.0,0.2,0.6,0.3,0.57,0.08549999999999999,0.86,0.129
space_invaders,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.7025,1.0,0.2,0.6,0.3,0.49,0.0735,0.86,0.129
space_invaders,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.725,1.0,0.2,0.6,0.3,0.64,0.096,0.86,0.129
space_invaders,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.7145,1.0,0.2,0.6,0.3,0.57,0.08549999999999999,0.86,0.129
pacman,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.719,1.0,0.2,0.6,0.3,0.6,0.09,0.86,0.129
pacman,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.492,0.0,0.0,0.6,0.3,0.62,0.093,0.66,0.099
pacman,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.48150000000000004,0.0,0.0,0.6,0.3,0.55,0.0825,0.66,0.099
super_mario_bros,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.7175,1.0,0.2,0.6,0.3,0.59,0.0885,0.86,0.129
super_mario_bros,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.734,1.0,0.2,0.6,0.3,0.7,0.105,0.86,0.129
super_mario_bros,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.495,0.0,0.0,0.6,0.3,0.64,0.096,0.66,0.099
roguelike_dungeon,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.654,1.0,0.2,0.5,0.25,0.5,0.075,0.86,0.129
roguelike_dungeon,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.6900000000000001,1.0,0.2,0.5,0.25,0.74,0.111,0.86,0.129
roguelike_dungeon,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.44199999999999995,0.0,0.0,0.5,0.25,0.6,0.09,0.68,0.10200000000000001
tower_defense,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_120519,20260430_120519,5,0.7115,1.0,0.2,0.6,0.3,0.55,0.0825,0.86,0.129
tower_defense,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_120519,20260430_120519,5,0.734,1.0,0.2,0.6,0.3,0.62,0.093,0.94,0.141
tower_defense,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_120519,20260430_120519,5,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0
